*Tudo deve estar em Regime de Competência,UNIT,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,01/2025,02/2025,03/2025,04/2025,05/2025,06/2025,07/2025,08/2025,09/2025,10/2025,11/2025,12/2025
Invest Income (rendimento de aplicação & cashback),BRL,"R$442,97","R$403,51","R$249,39","R$1.647,28","R$635,17","R$510,14","R$518,43","R$11,66","R$2.139,27","R$4.039,06","R$3.289,88","R$3.651,63","R$8.272,27","R$4.977,35","R$10.221,06","R$6.000,00","R$6.000,00","R$6.000,00","R$6.000,00","R$6.000,00"
,,,,,,,,,,,,,,,,,,,,,
Costs of Revenue,BRL,"R$80.465,11","R$77.006,04","R$74.686,55","R$77.088,80","R$86.426,62","R$95.795,34","R$84.858,84","R$74.699,65","R$73.842,91","R$64.594,65","R$67.390,69","R$78.760,35","R$71.965,09","R$69.133,77","R$72.458,27","R$68.022,80","R$55.040,00","R$55.040,00","R$55.040,00","R$55.040,00"
Payment Processing Expenses (despesas de processamento de pagamento),BRL,"R$44.451,91","R$41.958,30","R$44.347,01","R$46.624,50","R$55.868,77","R$64.994,79","R$54.078,42","R$47.882,52","R$51.615,76","R$50.393,54","R$55.695,84","R$67.494,82","R$60.576,19","R$58.050,86","R$61.355,72","R$64.506,70","R$51.615,76","R$51.615,76","R$51.615,76","R$51.615,76"
COGS (CMV),BRL,"R$36.013,20","R$35.047,74","R$30.339,54","R$30.464,30","R$30.557,85","R$30.800,55","R$30.780,42","R$26.817,13","R$22.227,15","R$14.201,11","R$11.694,85","R$11.265,53","R$11.388,90","R$11.082,91","R$11.102,55","R$3.516,10","R$3.424,24","R$3.424,24","R$3.424,24","R$3.424,24"
     AWS,BRL,"R$27.097,77","R$23.319,59","R$19.114,48","R$19.090,72","R$19.417,67","R$19.575,50","R$19.030,55","R$14.199,46","R$9.815,80","R$2.288,06","R$1.040,68","R$376,64","R$443,20","R$371,44","R$340,07","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00"
     Cloudflare,BRL,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$386,03","R$409,81","R$396,90","R$494,25","R$408,55","R$476,60","R$489,21","R$448,16","R$466,10","R$374,24","R$374,24","R$374,24","R$374,24"
     Heroku,BRL,"R$4.687,97","R$7.757,97","R$7.469,61","R$7.635,53","R$7.526,71","R$7.392,83","R$7.778,90","R$8.138,32","R$8.125,42","R$7.691,13","R$7.708,68","R$7.693,25","R$7.601,93","R$7.442,75","R$7.470,12","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00"
     IAPHUB,BRL,"R$2.240,02","R$2.395,91","R$2.440,43","R$2.429,06","R$2.348,17","R$2.490,32","R$2.580,48","R$2.668,94","R$2.518,84","R$2.485,64","R$2.451,24","R$2.410,45","R$2.417,17","R$2.329,51","R$2.394,20","R$2.600,00","R$2.600,00","R$2.600,00","R$2.600,00","R$2.600,00"
     MailGun,BRL,"R$1.987,44","R$1.574,27","R$1.315,02","R$1.308,99","R$1.265,30","R$1.341,90","R$1.390,49","R$1.424,38","R$1.357,28","R$1.339,38","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00"
     AWS SES,BRL,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$376,64","R$450,00","R$450,00","R$450,00","R$450,00","R$450,00","R$450,00","R$450,00","R$450,00"
,,,,,,,,,,,,,,,,,,,,,
Gross Profit,BRL,"R$216.323,95","R$203.119,50","R$221.209,58","R$235.388,45","R$286.667,02","R$338.013,41","R$276.182,40","R$244.528,82","R$272.401,42","R$275.401,36","R$307.204,80","R$374.856,75","R$340.148,42","R$322.849,29","R$346.800,92","R$368.021,87","R$295.065,06","R$295.065,06","R$295.065,06","R$295.065,06"
     Gross Margin,%,"72,89%","72,51%","74,76%","75,33%","76,84%","77,92%","76,50%","76,60%","78,67%","81,00%","82,01%","82,64%","82,54%","82,36%","82,72%","84,40%","84,28%","84,28%","84,28%","84,28%"
,,,,,,,,,,,,,,,,,,,,,
Operating Expenses (Despesas Administrativas e Vendas Gerais),BRL,#REF!,"R$99.360,01","R$81.617,82","R$97.223,39","R$94.868,87","R$119.904,96","R$92.501,57","R$77.491,03","R$82.842,30","R$103.441,72","R$101.478,94","R$119.404,37","R$109.321,91","R$102.005,02","R$93.397,95","R$185.433,98","R$172.151,94","R$174.151,94","R$176.151,94","R$178.151,94"
R&D,BRL,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$800,00","R$343,22","R$1.690,51","R$400,00","R$400,00","R$400,00","R$400,00","R$400,00"
SG&A,BRL,#REF!,"R$99.091,05","R$81.532,75","R$95.947,91","R$94.653,31","R$119.603,11","R$92.176,39","R$76.608,88","R$81.905,17","R$88.837,94","R$100.138,35","R$119.338,76","R$108.008,64","R$101.185,34","R$90.027,20","R$183.633,98","R$170.351,94","R$172.351,94","R$174.351,94","R$176.351,94"
     Marketing,BRL,"R$75.650,00","R$60.418,00","R$42.764,00","R$69.568,00","R$66.992,00","R$73.021,00","R$58.698,00","R$46.156,89","R$42.634,08","R$54.194,00","R$58.628,84","R$64.794,00","R$68.365,56","R$59.054,88","R$50.456,00","R$54.476,06","R$45.739,43","R$47.739,43","R$49.739,43","R$51.739,43"
          Marketing/Revenue no Tax,%,"30,03%","25,41%","17,02%","26,33%","21,16%","19,83%","19,15%","17,01%","14,58%","18,98%","18,58%","16,94%","19,92%","17,95%","14,51%","14,90%","15,64%","16,32%","17,01%","17,69%"
